,1800,2700.peak,3500.4300.peak,5400.6800.peak,dom.300.5000,energy,fft.kurtosis,low.freq.peak,lpc.2.0,lpc.2.1,lpc.2.10,lpc.2.11,lpc.2.2,lpc.2.3,lpc.2.4,lpc.2.5,lpc.2.6,lpc.2.7,lpc.2.8,lpc.2.9,lpc.residual,psd.21.peak,psd.argmax.after.3,psd.other_spike,psd.spike,zero.crossings
1800,2700.peak,1.000,0.429,0.136,-0.013,0.370,-0.067,0.013,-0.027,0.093,-0.025,-0.010,-0.027,0.004,-0.048,-0.007,0.005,0.020,0.018,0.029,0.072,0.168,-0.027,0.151,0.122,-0.026
3500.4300.peak,0.429,1.000,0.321,0.124,0.304,-0.083,0.023,0.090,0.099,-0.033,-0.003,-0.081,0.052,-0.022,0.028,0.009,0.023,0.004,0.020,0.123,0.685,0.077,0.090,0.289,0.078
5400.6800.peak,0.136,0.321,1.000,0.220,0.209,-0.103,0.003,0.248,0.096,-0.030,0.013,-0.079,0.144,-0.016,0.068,0.007,0.039,-0.003,0.029,0.090,0.141,0.195,-0.003,0.946,0.202
dom.300.5000,-0.013,0.124,0.220,1.000,-0.092,-0.324,-0.038,0.636,0.411,-0.162,-0.098,-0.378,0.299,0.094,0.005,-0.177,-0.174,-0.180,-0.132,-0.001,0.076,0.571,-0.118,0.205,0.590
energy,0.370,0.304,0.209,-0.092,1.000,0.064,0.399,-0.116,0.067,0.045,0.061,0.166,-0.015,0.014,0.024,0.074,0.072,0.076,0.085,0.161,0.142,-0.113,0.735,0.197,-0.182
fft.kurtosis,-0.067,-0.083,-0.103,-0.324,0.064,1.000,0.094,-0.468,-0.445,0.033,0.013,0.409,-0.211,-0.051,0.015,0.121,0.034,0.028,-0.019,-0.003,-0.034,-0.296,0.103,-0.094,-0.550
low.freq.peak,0.013,0.023,0.003,-0.038,0.399,0.094,1.000,-0.048,-0.077,-0.006,0.007,0.046,-0.017,-0.003,-0.005,0.009,0.001,-0.007,-0.004,0.261,0.009,-0.018,0.683,0.002,-0.077
lpc.2.0,-0.027,0.090,0.248,0.636,-0.116,-0.468,-0.048,1.000,0.350,-0.100,0.014,-0.556,0.401,-0.044,-0.086,-0.250,-0.101,-0.109,-0.031,0.025,0.046,0.780,-0.135,0.234,0.890
lpc.2.1,0.093,0.099,0.096,0.411,0.067,-0.445,-0.077,0.350,1.000,-0.070,-0.031,-0.397,0.059,0.078,-0.066,-0.153,-0.140,-0.145,-0.082,-0.023,0.054,0.363,-0.028,0.089,0.246
lpc.2.10,-0.025,-0.033,-0.030,-0.162,0.045,0.033,-0.006,-0.100,-0.070,1.000,0.614,-0.040,-0.149,0.063,0.061,0.077,-0.051,0.242,0.608,-0.009,-0.028,-0.100,0.036,-0.029,-0.065
lpc.2.11,-0.010,-0.003,0.013,-0.098,0.061,0.013,0.007,0.014,-0.031,0.614,1.000,-0.036,-0.080,-0.110,-0.012,0.078,0.072,0.013,0.254,0.001,-0.013,-0.010,0.042,0.012,-0.010
